Description,mean,std,Safety_Stock,Reorder_Point,ABC,Strategy,Risk
12 ASS ZINC CHRISTMAS DECORATIONS,11.307692307692308,12.057218510859936,52.63566277678488,131.78950893063103,C,"Low Priority → Low stock, minimal monitoring",High Risk
12 COLOURED PARTY BALLOONS,22.365079365079364,45.65421664498332,199.30301084775093,355.85856640330644,B,"Medium Priority → Moderate stock, weekly review",High Risk
12 DAISY PEGS IN WOOD BOX,6.06,6.276867084994277,27.401598377177944,69.82159837717793,C,"Low Priority → Low stock, minimal monitoring",High Risk
12 EGG HOUSE PAINTED WOOD,3.5984848484848486,13.888794895202032,60.63139055009515,85.82078448948909,B,"Medium Priority → Moderate stock, weekly review",High Risk
12 HANGING EGGS HAND PAINTED,7.0,3.521363372331802,15.372475402484792,64.3724754024848,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
12 IVORY ROSE PEG PLACE SETTINGS,13.03804347826087,32.74497698063903,142.94785853255416,234.21416288038023,B,"Medium Priority → Moderate stock, weekly review",High Risk
12 MESSAGE CARDS WITH ENVELOPES,16.53804347826087,19.422500288649257,84.78872424469616,200.55502859252226,B,"Medium Priority → Moderate stock, weekly review",High Risk
12 MINI TOADSTOOL PEGS,7.40625,7.121883891129521,31.090510509639433,82.93426050963943,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
12 PENCIL SMALL TUBE WOODLAND,35.05681818181818,75.2607671446841,328.5501010188784,573.9478282916057,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
12 PENCILS SMALL TUBE POSY,8.948275862068966,11.573445731414807,50.523757708752264,113.16168874323503,C,"Low Priority → Low stock, minimal monitoring",High Risk
12 PENCILS SMALL TUBE RED RETROSPOT,50.321608040201006,93.49751298711041,408.1624264854278,760.4136827668349,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
12 PENCILS SMALL TUBE RED SPOTTY,48.798780487804876,118.3762422212753,516.7702617921337,858.3617252067679,B,"Medium Priority → Moderate stock, weekly review",High Risk
12 PENCILS SMALL TUBE SKULL,34.935309973045825,57.66582311249441,251.73955472077643,496.2867245320972,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
12 PENCILS TALL TUBE POSY,40.98601398601399,78.70357885217577,343.579659940472,630.48175784257,B,"Medium Priority → Moderate stock, weekly review",High Risk
12 PENCILS TALL TUBE RED RETROSPOT,19.53030303030303,22.54688495618637,98.42819321486677,235.14031442698797,B,"Medium Priority → Moderate stock, weekly review",High Risk
12 PENCILS TALL TUBE RED SPOTTY,15.349315068493151,20.34854649244559,88.83136937506706,196.2765748545191,B,"Medium Priority → Moderate stock, weekly review",High Risk
12 PENCILS TALL TUBE SKULLS,15.593333333333334,16.209991826203183,70.76455175876356,179.9178850920969,B,"Medium Priority → Moderate stock, weekly review",High Risk
12 PENCILS TALL TUBE WOODLAND,15.436426116838488,21.582685739616366,94.21899150161032,202.27397431947975,B,"Medium Priority → Moderate stock, weekly review",High Risk
12 PINK HEN+CHICKS IN BASKET,3.0,2.900653909629392,12.66277465917188,33.66277465917188,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
12 PINK ROSE PEG PLACE SETTINGS,15.89247311827957,48.42575275291826,211.40212307828324,322.64943490624023,C,"Low Priority → Low stock, minimal monitoring",High Risk
12 RED ROSE PEG PLACE SETTINGS,7.905405405405405,9.46122616338921,41.302885018008254,96.6407228558461,C,"Low Priority → Low stock, minimal monitoring",High Risk
15 PINK FLUFFY CHICKS IN BOX,1.5,0.9459053029269173,4.129339822347037,14.629339822347037,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
15CM CHRISTMAS GLASS BALL 20 LIGHTS,14.208791208791208,14.72099000057569,64.26432968041657,163.725868141955,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
16 PC CUTLERY SET PANTRY DESIGN,4.0,,,,C,"Low Priority → Low stock, minimal monitoring",Low Risk
16 PIECE CUTLERY SET PANTRY DESIGN,4.883720930232558,6.687619344108511,29.19473311850042,63.38077963012833,B,"Medium Priority → Moderate stock, weekly review",High Risk
18PC WOODEN CUTLERY SET DISPOSABLE,26.473684210526315,39.13987512194442,170.86472026600154,356.18050973968576,C,"Low Priority → Low stock, minimal monitoring",High Risk
2 DAISIES HAIR COMB,6.0,0.0,0.0,42.0,C,"Low Priority → Low stock, minimal monitoring",Low Risk
2 PICTURE BOOK EGGS EASTER BUNNY,14.653061224489797,42.11074240440722,183.83401067850002,286.4054392499286,C,"Low Priority → Low stock, minimal monitoring",High Risk
2 PICTURE BOOK EGGS EASTER CHICKS,17.095238095238095,45.214831110830794,197.3848778402236,317.05154450689025,C,"Low Priority → Low stock, minimal monitoring",High Risk
2 PICTURE BOOK EGGS EASTER DUCKS,16.6,46.51484461148687,203.0600733394317,319.26007333943176,C,"Low Priority → Low stock, minimal monitoring",High Risk
20 DOLLY PEGS RETROSPOT,20.869402985074625,42.362552765335074,184.9332862062315,331.0191071017539,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
200 BENDY SKULL STRAWS,13.932584269662922,33.59680644753205,146.666511265133,244.19460115277346,C,"Low Priority → Low stock, minimal monitoring",High Risk
200 RED + WHITE BENDY STRAWS,8.81858407079646,17.044720518148416,74.40855123507416,136.13863973064937,B,"Medium Priority → Moderate stock, weekly review",High Risk
24 HANGING EASTER EGGS FLORAL TUB,12.596153846153847,31.572673475764443,137.8301796998247,226.00325662290163,B,"Medium Priority → Moderate stock, weekly review",High Risk
3 BIRDS CANVAS SCREEN,1.0,0.0,0.0,7.0,C,"Low Priority → Low stock, minimal monitoring",Low Risk
3 BLACK CATS W HEARTS BLANK CARD,8.777777777777779,6.759766596891082,29.50969120475509,90.95413564919954,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
3 DRAWER ANTIQUE WHITE WOOD CABINET,9.794520547945206,8.37482819742456,36.5602259274066,105.12186976302303,A,"High Priority → Maintain high stock, frequent monitoring",Medium Risk
3 GARDENIA MORRIS BOXED CANDLES,9.892857142857142,15.75797205558657,68.79126412254912,138.04126412254914,B,"Medium Priority → Moderate stock, weekly review",High Risk
3 HEARTS HANGING DECORATION RUSTIC,37.674107142857146,63.40139089099102,276.77811657071084,540.4968665707108,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
3 HOOK HANGER MAGIC GARDEN,24.75,43.516486294728026,189.97077110088156,363.22077110088156,B,"Medium Priority → Moderate stock, weekly review",High Risk
3 HOOK PHOTO SHELF ANTIQUE WHITE,8.829479768786127,27.583913570132086,120.41728956257437,182.22364794407724,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
3 PIECE JIGSAW TOADSTOOLS,8.0,0.0,0.0,56.0,C,"Low Priority → Low stock, minimal monitoring",Low Risk
3 PIECE SPACEBOY COOKIE CUTTER SET,14.49468085106383,29.547658835825704,128.98999922122889,230.4527651786757,B,"Medium Priority → Moderate stock, weekly review",High Risk
3 PINK HEN+CHICKS IN BASKET,8.25,16.581068065170538,72.38448124425567,130.13448124425565,C,"Low Priority → Low stock, minimal monitoring",High Risk
3 RAFFIA RIBBONS 50'S CHRISTMAS ,28.903225806451612,32.825774398076604,143.3005788231957,345.623159468357,C,"Low Priority → Low stock, minimal monitoring",High Risk
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,19.4,33.87884990061256,147.89776904414515,283.69776904414516,C,"Low Priority → Low stock, minimal monitoring",High Risk
3 ROSE MORRIS BOXED CANDLES,14.32183908045977,18.257521070731986,79.7030195109696,179.955893074188,B,"Medium Priority → Moderate stock, weekly review",High Risk
3 STRIPEY MICE FELTCRAFT,19.40983606557377,50.74309520718978,221.51845760863122,357.3873100676476,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
3 TIER CAKE TIN GREEN AND CREAM,3.3586206896551722,5.63431434020957,24.59654101172316,48.10688583930937,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
3 TIER CAKE TIN RED AND CREAM,5.896551724137931,13.105726132926192,57.21291196276085,98.48877403172636,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
3 TIER SWEETHEART GARDEN SHELF,1.4318181818181819,0.9498525533734725,4.146571503369758,14.169298776097031,B,"Medium Priority → Moderate stock, weekly review",Medium Risk
3 TRADITIONAL COOKIE CUTTERS  SET,40.666666666666664,58.770741019660456,256.5630624232569,541.2297290899235,C,"Low Priority → Low stock, minimal monitoring",High Risk
3 TRADITIONAl BISCUIT CUTTERS  SET,9.227848101265822,15.789175819112392,68.92748382967581,133.52242053853655,B,"Medium Priority → Moderate stock, weekly review",High Risk
3 WHITE CHOC MORRIS BOXED CANDLES,15.094594594594595,15.294523076407609,66.76808239449656,172.43024455665872,B,"Medium Priority → Moderate stock, weekly review",High Risk
3 WICK CHRISTMAS BRIAR CANDLE ,6.046511627906977,5.903806231383167,25.773005076972968,68.0985864723218,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
36 DOILIES DOLLY GIRL,20.04123711340206,49.41173054164642,215.7063989231766,355.995058716991,B,"Medium Priority → Moderate stock, weekly review",High Risk
36 DOILIES SPACEBOY DESIGN ,16.41860465116279,30.32697413048994,132.39209208450336,247.3223246426429,C,"Low Priority → Low stock, minimal monitoring",High Risk
36 DOILIES VINTAGE CHRISTMAS,77.45,115.52124952106901,504.3068206707103,1046.4568206707104,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
36 FOIL HEART CAKE CASES,18.007042253521128,30.759072115894938,134.27841137330287,260.3277071479508,B,"Medium Priority → Moderate stock, weekly review",High Risk
36 FOIL STAR CAKE CASES ,13.761904761904763,20.340147780230403,88.79470488370697,185.1280382170403,B,"Medium Priority → Moderate stock, weekly review",High Risk
36 PENCILS TUBE POSY,4.410256410256411,4.632368660437965,20.222557503535644,51.094352375330516,C,"Low Priority → Low stock, minimal monitoring",High Risk
36 PENCILS TUBE RED RETROSPOT,22.55665024630542,30.625662128398293,133.6960114519111,291.592563176049,B,"Medium Priority → Moderate stock, weekly review",High Risk
36 PENCILS TUBE RED SPOTTY,23.035714285714285,28.6485553302031,125.06497216123567,286.3149721612357,B,"Medium Priority → Moderate stock, weekly review",High Risk
36 PENCILS TUBE SKULLS,14.2,16.98448887819506,74.14561063345678,173.54561063345676,B,"Medium Priority → Moderate stock, weekly review",High Risk
36 PENCILS TUBE WOODLAND,14.461538461538462,14.780698330998097,64.52498577968589,165.75575501045512,B,"Medium Priority → Moderate stock, weekly review",High Risk
3D CHRISTMAS STAMPS STICKERS ,17.83653846153846,20.352767792943,88.84979741875398,213.7055666495232,B,"Medium Priority → Moderate stock, weekly review",High Risk
3D DOG PICTURE PLAYING CARDS,9.844961240310077,27.203931704696636,118.75848265679096,187.6732113389615,B,"Medium Priority → Moderate stock, weekly review",High Risk
3D HEARTS  HONEYCOMB PAPER GARLAND,10.070588235294117,10.271073847616583,44.838266712315125,115.33238435937395,B,"Medium Priority → Moderate stock, weekly review",High Risk
3D SHEET OF CAT STICKERS,9.336,10.921969573059554,47.67974527359431,113.03174527359431,C,"Low Priority → Low stock, minimal monitoring",High Risk
3D SHEET OF DOG STICKERS,9.176923076923076,10.449187042014234,45.61581802134768,109.85427955980921,C,"Low Priority → Low stock, minimal monitoring",High Risk
3D SHEET OF SEA WORLD STICKERS,5.25,4.493822920904254,19.61773750971299,56.36773750971299,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
3D STICKERS CHRISTMAS STAMPS,49.473684210526315,40.20415735972895,175.51083337383747,521.8266228475217,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
3D STICKERS TRADITIONAL CHRISTMAS ,46.666666666666664,38.64367132317184,168.69854771159117,495.3652143782578,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
3D STICKERS VINTAGE CHRISTMAS,48.18181818181818,52.97226261035681,231.24986486482538,568.5225921375527,C,"Low Priority → Low stock, minimal monitoring",High Risk
3D TRADITIONAL CHRISTMAS STICKERS,21.761467889908257,18.74630782539878,81.8368130360042,234.167088265362,B,"Medium Priority → Moderate stock, weekly review",Medium Risk
3D VINTAGE CHRISTMAS STICKERS ,21.405172413793103,27.282731741421397,119.10248340257716,268.9386902991289,B,"Medium Priority → Moderate stock, weekly review",High Risk
4 BLUE DINNER CANDLES SILVER FLOCK,5.45,8.427519025376148,36.790247192177695,74.9402471921777,C,"Low Priority → Low stock, minimal monitoring",High Risk
4 BURGUNDY WINE DINNER CANDLES,18.1,46.49682970282805,202.98142944189712,329.68142944189714,C,"Low Priority → Low stock, minimal monitoring",High Risk
4 FESTIVE GREEN DINNER CANDLES,25.5,31.81980515339464,138.90903048398258,317.4090304839826,C,"Low Priority → Low stock, minimal monitoring",High Risk
4 GOLD FLOCK CHRISTMAS BALLS,5.04,4.495182606598609,19.623673203556972,54.90367320355698,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
4 IVORY DINNER CANDLES GOLD FLOCK,17.425531914893618,67.79660908567082,295.9653961673427,417.94411957159804,C,"Low Priority → Low stock, minimal monitoring",High Risk
4 IVORY DINNER CANDLES SILVER FLOCK,7.8011695906432745,11.575643741743948,50.53335310012386,105.14154023462677,B,"Medium Priority → Moderate stock, weekly review",High Risk
4 LAVENDER BOTANICAL DINNER CANDLES,11.822916666666666,16.477732848440084,71.93337242376849,154.69378909043513,B,"Medium Priority → Moderate stock, weekly review",High Risk
4 LILY  BOTANICAL DINNER CANDLES,6.65,8.230553857835005,35.93039778925524,82.48039778925525,B,"Medium Priority → Moderate stock, weekly review",High Risk
4 PEAR BOTANICAL DINNER CANDLES,10.40952380952381,14.792601605906322,64.57694940325666,137.44361606992334,B,"Medium Priority → Moderate stock, weekly review",High Risk
4 PINK DINNER CANDLE SILVER FLOCK,6.475,9.787452721174738,42.727023683900754,88.05202368390076,C,"Low Priority → Low stock, minimal monitoring",High Risk
4 PINK FLOCK CHRISTMAS BALLS,4.0,3.7549966711037173,16.392399153266123,44.392399153266126,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
4 ROSE PINK DINNER CANDLES,25.714285714285715,54.264300287705595,236.89024198982955,416.8902419898295,C,"Low Priority → Low stock, minimal monitoring",High Risk
4 SKY BLUE DINNER CANDLES,17.904761904761905,52.01336824500482,227.06382142472629,352.3971547580596,C,"Low Priority → Low stock, minimal monitoring",High Risk
4 TRADITIONAL SPINNING TOPS,23.900621118012424,36.163303023843376,157.87052553980348,325.17487336589045,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
4 VANILLA BOTANICAL CANDLES,9.54054054054054,14.37597982986885,62.75819134647747,129.54197513026125,B,"Medium Priority → Moderate stock, weekly review",High Risk
4 WILDFLOWER BOTANICAL CANDLES,6.885057471264368,8.832320782423801,38.55740507823732,86.75280737708789,C,"Low Priority → Low stock, minimal monitoring",High Risk
5 HOOK BLACKBOARD ORGANISER ,4.777777777777778,13.784568796939666,60.176392595489226,93.62083703993366,B,"Medium Priority → Moderate stock, weekly review",High Risk
5 HOOK HANGER MAGIC TOADSTOOL,29.737704918032787,48.9870396599428,213.85241526902016,422.0163496952497,B,"Medium Priority → Moderate stock, weekly review",High Risk
5 HOOK HANGER RED MAGIC TOADSTOOL,34.54961832061068,99.20090056511648,433.0605060027593,674.9078342470341,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
5 STRAND GLASS NECKLACE AMBER,1.6666666666666667,1.6583123951776997,7.2393456195985,18.906012286265167,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
5 STRAND GLASS NECKLACE AMETHYST,1.4166666666666667,0.6685579234215215,2.918582703984933,12.835249370651601,C,"Low Priority → Low stock, minimal monitoring",Low Risk
5 STRAND GLASS NECKLACE BLACK,1.8888888888888888,1.2692955176439848,5.541096461892719,18.763318684114942,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
5 STRAND GLASS NECKLACE CRYSTAL,3.8846153846153846,9.651225510066263,42.13232520195243,69.32463289426013,C,"Low Priority → Low stock, minimal monitoring",High Risk
50'S CHRISTMAS PAPER GIFT BAG,22.491525423728813,29.56137559287977,129.04987958236183,286.4905575484635,C,"Low Priority → Low stock, minimal monitoring",High Risk
50CM METAL STRING WITH  7 CLIPS,9.057142857142857,23.926287361200785,104.44996015542844,167.84996015542845,C,"Low Priority → Low stock, minimal monitoring",High Risk
6 CHOCOLATE LOVE HEART T-LIGHTS,12.723300970873787,23.378041412187425,102.05659813208833,191.11970492820484,B,"Medium Priority → Moderate stock, weekly review",High Risk
6 CROCHET STRAWBERRIES,18.115384615384617,38.46906261244928,167.9362951898173,294.7439874975096,C,"Low Priority → Low stock, minimal monitoring",High Risk
6 EGG HOUSE PAINTED WOOD,3.9957446808510637,10.836192077383657,47.30528450288114,75.27549726883859,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
6 GIFT TAGS 50'S CHRISTMAS ,37.59550561797753,37.964612440439964,165.73412317828263,428.9026625041253,B,"Medium Priority → Moderate stock, weekly review",High Risk
6 GIFT TAGS VINTAGE CHRISTMAS ,41.043956043956044,41.916030369699875,182.98399730367348,470.29168961136577,B,"Medium Priority → Moderate stock, weekly review",High Risk
6 HOOK JEWEL STAND LILAC DRESS,1.0,,,,C,"Low Priority → Low stock, minimal monitoring",Low Risk
6 HOOK JEWELLERY STAND BLACK DRESS,22.434782608695652,27.879327771595346,121.70691720544143,278.750395466311,C,"Low Priority → Low stock, minimal monitoring",High Risk
6 RABBIT CHAIN EASTER,7.571428571428571,4.3149794459588815,18.836998168498077,71.83699816849807,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
6 RIBBONS ELEGANT CHRISTMAS ,18.29585798816568,37.801738992232295,165.02310082371307,293.0941067408728,B,"Medium Priority → Moderate stock, weekly review",High Risk
6 RIBBONS EMPIRE  ,11.352941176470589,16.896698456276233,73.76236245403722,153.23295068933135,B,"Medium Priority → Moderate stock, weekly review",High Risk
6 RIBBONS RUSTIC CHARM,34.5,37.21185118164884,162.44795168412995,403.94795168413,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
6 RIBBONS SHIMMERING PINKS ,14.0,21.869480870573657,95.4709926812767,193.4709926812767,C,"Low Priority → Low stock, minimal monitoring",High Risk
6 ROCKET BALLOONS ,17.1131221719457,16.320117527665793,71.24530437015746,191.03715957377736,B,"Medium Priority → Moderate stock, weekly review",Medium Risk
6 SEGMENT COLOURED SNACK BOWL ,2.0,1.8027756377319946,7.869998411689801,21.8699984116898,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
60 CAKE CASES DOLLY GIRL DESIGN,38.207692307692305,62.916957729562604,274.6633286119564,542.1171747658025,B,"Medium Priority → Moderate stock, weekly review",High Risk
60 CAKE CASES VINTAGE CHRISTMAS,134.24479166666666,158.50511569182845,691.9524441259646,1631.665985792631,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
60 GOLD AND SILVER FAIRY CAKE CASES,34.950413223140494,84.5453380579191,369.0817993683785,613.7346919303619,B,"Medium Priority → Moderate stock, weekly review",High Risk
60 TEATIME FAIRY CAKE CASES,100.17790262172285,138.28717773459388,603.6912449612943,1304.9365633133543,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
6PC WOOD PLATE SET DISPOSABLE,28.928571428571427,78.82059891415959,344.09050981145606,546.5905098114561,C,"Low Priority → Low stock, minimal monitoring",High Risk
70'S ALPHABET WALL ART,16.666666666666668,40.311288741492746,175.9785143135377,292.6451809802044,C,"Low Priority → Low stock, minimal monitoring",High Risk
72 CAKE CASES DOLLY GIRL DESIGN,58.9375,86.12817483262954,375.9916569469993,788.5541569469992,C,"Low Priority → Low stock, minimal monitoring",High Risk
72 CAKE CASES VINTAGE CHRISTMAS,113.60526315789474,214.76014772911566,937.5332049909092,1732.7700470961722,B,"Medium Priority → Moderate stock, weekly review",High Risk
72 ROUND PINK DOILIES,8.214285714285714,6.852047099265259,29.912540783989684,87.41254078398967,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
72 SWEETHEART FAIRY CAKE CASES,70.6359918200409,135.7873911200162,592.7784523350083,1087.2303950752946,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
75 BLACK FAIRY CAKE CASES,24.048780487804876,34.00731628599366,148.45858772160227,316.8000511362364,C,"Low Priority → Low stock, minimal monitoring",High Risk
75 BLACK PETIT FOUR CASES,7.753623188405797,10.960364148498426,47.84735639579783,102.12271871463841,C,"Low Priority → Low stock, minimal monitoring",High Risk
75 GREEN FAIRY CAKE CASES,19.15740740740741,70.68439292065428,308.5719866486824,442.67383850053426,C,"Low Priority → Low stock, minimal monitoring",High Risk
75 GREEN PETIT FOUR CASES,12.436363636363636,12.297181949668497,53.68322068846315,140.7377661430086,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
A PRETTY THANK YOU CARD,24.333333333333332,23.326329481056888,101.83085023127094,272.1641835646043,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
A4 WALL TIDY BLUE OFFICE,30.0,32.526911934581186,141.99589782807107,351.99589782807107,C,"Low Priority → Low stock, minimal monitoring",High Risk
A4 WALL TIDY RED FLOWERS,2.5,2.073644135332772,9.052472038067833,26.552472038067833,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
ABC TREASURE BOOK BOX ,16.2015503875969,41.706448063549104,182.0690679125708,295.4799206257491,B,"Medium Priority → Moderate stock, weekly review",High Risk
ABSTRACT CIRCLE JOURNAL ,8.970297029702971,17.026717502527934,74.32995925647549,137.1220384643963,B,"Medium Priority → Moderate stock, weekly review",High Risk
ABSTRACT CIRCLES NOTEBOOK,70.84444444444445,452.6835617412091,1976.1854095074175,2472.0965206185288,C,"Low Priority → Low stock, minimal monitoring",High Risk
ABSTRACT CIRCLES POCKET BOOK,81.72727272727273,590.45173177191,2577.6109317022165,3149.7018407931255,C,"Low Priority → Low stock, minimal monitoring",High Risk
ABSTRACT CIRCLES SKETCHBOOK ,5.033333333333333,10.423739335607673,45.504726322076245,80.73805965540959,C,"Low Priority → Low stock, minimal monitoring",High Risk
